tree_species,tree_origin,thickness_inches,charring_rate_inches_hour
Alder,NorthernForest,1.5,0.75
Alder,EasternWoodland,1.25,0.6
Alder,RockyMountains,1,0.55
Alder,CentralForest,0.75,0.9
Alder,BorealForest,0.625,0.85
Ash,BorealForest,0.75,0.7
Ash,RockyMountains,0.5,0.8
Ash,CentralForest,1,0.65
Ash,EasternWoodland,1.5,0.55
Ash,NorthernForest,1.25,0.9
Aspen,NorthernForest,1,0.75
Aspen,EasternWoodland,0.75,0.6
Aspen,RockyMountains,0.625,0.85
Aspen,CentralForest,0.75,0.7
Aspen,BorealForest,0.5,0.85
Beech,NorthernForest,1,0.7
Beech,EasternWoodland,1.5,0.8
Beech,RockyMountains,1.25,0.65
Beech,CentralForest,1,0.75
Beech,BorealForest,0.75,0.6
Birch,NorthernForest,0.625,0.9
Birch,EasternWoodland,0.75,0.85
Birch,RockyMountains,0.5,0.7
Birch,CentralForest,1,0.8
Birch,BorealForest,1.5,0.9
BlackCherry,NorthernForest,1.25,0.75
BlackCherry,EasternWoodland,1,0.6
BlackCherry,RockyMountains,0.75,0.85
BlackCherry,CentralForest,0.625,0.7
BlackCherry,BorealForest,0.75,0.6
BlackWalnut,NorthernForest,0.5,0.55
BlackWalnut,EasternWoodland,1,0.9
BlackWalnut,RockyMountains,1.5,0.85
BlackWalnut,CentralForest,1.25,0.7
BlackWalnut,BorealForest,1,0.8
Cedar,NorthernForest,0.75,0.65
Cedar,EasternWoodland,0.625,0.55
Cedar,RockyMountains,0.75,0.9
Cedar,CentralForest,0.5,0.75
Cedar,BorealForest,1,0.6
Cherry,NorthernForest,1.5,0.85
Cherry,EasternWoodland,1.25,0.7
Cherry,RockyMountains,1,0.85
Cherry,CentralForest,0.75,0.7
Cherry,BorealForest,0.625,0.8
Chestnut,NorthernForest,1.5,0.65
Chestnut,EasternWoodland,1.25,0.75
Chestnut,RockyMountains,1,0.6
Chestnut,CentralForest,0.75,0.75
Chestnut,BorealForest,0.625,0.6
Cottonwood,NorthernForest,0.75,0.9
